Atom,Label,AMU,n1,E1,E_ionize,s1,l1,j1,Z,I,muI,Qb,A_Exp,B_Exp,Corrflags,Coupling,n2,E2,s2,l2,j2,S,L,J,A_Calc,B_Calc,Source,Notes,Notes2,
Rb,Rb5S12,85,5,0,4.177128,0.5,0,0.5,37,2.5,1.35298,0.277,1011.91,0,,,6,2.496113,,,,,,,,,Metcalf,,,
Rb,Rb5P12,85,5,1.57923,4.177128,0.5,1,0.5,37,2.5,1.35298,0.277,120.72,0,,,6,2.946702,,,,,,,,,,,,
Rb,Rb5P32,85,5,1.57923,4.177128,0.5,1,1.5,37,2.5,1.35298,0.277,25.009,25.88,,,6,2.946702,,,,,,,,,,,,
Li6,Li62S12,6,2,0,5.391715,0.5,0,0.5,3,1,0.8220473,-0.00082,152,0,,,3,3.37313,,,,,,,,,Allegrini2022,,,
Li6,Li62p12,6,2,1.847818,5.391715,-0.5,1,0.5,3,1,0.8220473,-0.00082,17.675,0,R,,3,3.834258,,,,,,,,,,,,
Li6,Li62p32,6,2,1.84786,5.391715,0.5,1,1.5,3,1,0.8220473,-0.00082,-1.155,-0.1,,,3,3.834258,,,,,,,,,,,,
Li6,Li63p32,6,3,3.834258,5.391715,0.5,1,1.5,3,1,0.8220473,-0.00082,-0.402,0,,,4,4.521648,,,,,,,,,,,,
Li7,Li2S12,7,2,0,5.391715,0.5,0,0.5,3,1.5,3.256427,-0.0406,401.752,0,,,3,3.37313,,,,,,,,,Allegrini2022,,,
Li7,Li2p12,7,2,1.847846,5.391715,-0.5,1,0.5,3,1.5,3.256427,-0.0406,45.914,0,R,,3,3.834258,,,,,,,,,,,,
Li7,Li2p32,7,2,1.847846,5.391715,0.5,1,1.5,3,1.5,3.256427,-0.0406,-3.055,-0.221,,,3,3.834258,,,,,,,,,,,,
Li7,Li3p32,7,3,3.834258,5.391715,0.5,1,1.5,3,1.5,3.256427,-0.0406,-0.96,-0.019,,,4,4.521648,,,,,,,,,,,,
Na,Na3s12,23,3,0,5.13907696,0.5,0,0.5,11,1.5,2.217522,0.1045,885.8,0,,,4,3.1913531,,,,,,,,,"Allegrini2022 , ATOM",,
Na,Na3p12,23,3,2.103718527,5.13907696,0.5,1,0.5,11,1.5,2.217522,0.1045,94.44,0,,,4,3.753091,,,,,,,,,,,,
Na,Na3p32,23,3,2.103718527,5.13907696,0.5,1,1.5,11,1.5,2.217522,0.1045,18.8,2.9,,,4,3.753091,,,,,,,,,,,,
Na,Na3d32,23,3,3.6169733,5.13907696,0.5,2,1.5,11,1.5,2.217522,0.1045,0.527,0,,,4,4.2834982,,,,,,,,,,,,
Na,Na3d52,23,3,3.6169733,5.13907696,0.5,2,2.5,11,1.5,2.217522,0.1045,0.108,0,,,4,4.2834982,,,,,,,,,,,,
K40,K404s12,40,4,0,4.340663,0.5,0,0.5,19,4,-1.2981,-0.073,-285.7308,0,,,5,2.6069,,,,,,,,,,,,
K40,K404p12,40,4,1.61472795,4.340663,0.5,1,0.5,19,4,-1.2981,-0.073,-34.523,0,,,5,3.0641314,,,,,,,,,,,,
K40,K404p32,40,4,1.61472795,4.340663,0.5,1,1.5,19,4,-1.2981,-0.073,-7.585,-3,,,5,3.0641314,,,,,,,,,,,,
K,K4s12,39,4,0,4.3406633,0.5,0,0.5,19,1.5,0.39146,0.585,230.86,,,,5,2.6069,,,,,,,,,"Allegrini2022 , ATOM","There is also a value of 0.05 for Q given, Radzig seems to have a difference of a factor of 2 for all K values to ATOM"
K,K5s12,39,5,2.6069601,4.3406633,0.5,0,0.5,19,1.5,0.39146,0.585,55.5,,,,6,3.403454,,,,,,,,,,,,
K,K6s12,39,6,3.4034543,4.3406633,0.5,0,0.5,19,1.5,0.39146,0.585,21.81,,,,7,3.7535285,,,,,,,,,,,,
K,K4p12,39,4,1.61472795,4.3406633,0.5,1,0.5,19,1.5,0.39146,0.585,27.775,,,,5,3.0641314,,,,,,,,,,,,
K,k4P32,39,4,1.61472795,4.3406633,0.5,1,1.5,19,1.5,0.39146,0.585,6.093,2.83,,,5,3.0641314,,,,,,,,,,,,
K,K5P12,39,5,3.0641314,4.3406633,0.5,1,0.5,19,1.5,0.39146,0.585,8.99,,,,6,3.596149,,,,,,,,,,,,
K,K5P32,39,5,3.0641314,4.3406633,0.5,1,1.5,19,1.5,0.39146,0.585,1.932,0.87,,,6,3.596149,,,,,,,,,,,,
K,K3D32,39,3,2.6700745,4.3406633,-0.5,2,1.5,19,1.5,0.39146,0.585,1.111,-0.62,,,4,3.3968577,,,,,,,,,0.96,,,
K,K3D52,39,3,2.6700745,4.3406633,0.5,2,2.5,19,1.5,0.39146,0.585,-0.639,,,,4,3.3968577,,,,,,,,,0.62,,,
K,K5D32,39,5,3.7425183,4.3406633,-0.5,2,1.5,19,1.5,0.39146,0.585,0.44,,,,6,3.929804,,,,,,,,,,,,
K,K5D52,39,5,3.7425183,4.3406633,0.5,2,2.5,19,1.5,0.39146,0.585,-0.24,,,,6,3.929804,,,,,,,,,,,,
Cs,Cs6s12,133,6,0,3.893905,0.5,0,0.5,55,3.5,2.579,0.585,2298.157943,,,,7,2.2981127,,,,,,,,,"Allegrini2022 , ATOM",,
Cs,Cs7s12,133,7,2.2981127,3.893905,0.5,0,0.5,55,3.5,2.579,0.585,545.9,,,,8,3.014942277,,,,,,,,,,,,
Cs,Cs8s12,133,8,3.014942277,3.893905,0.5,0,0.5,55,3.5,2.579,0.585,219,,,,9,3.33649694,,,,,,,,,,,,
Cs,Cs6p12,133,6,1.431723334,3.893905,0.5,1,0.5,55,3.5,2.579,0.585,291.922,,,,7,2.713524,,,,,,,,,,,,
Cs,Cs6p32,133,6,1.431723334,3.893905,0.5,1,1.5,55,3.5,2.579,0.585,50.3,,,,7,2.713524,,,,,,,,,,,,
Cs,Cs7p12,133,7,2.713524,3.893905,0.5,1,0.5,55,3.5,2.579,0.585,94,,,,8,3.194322,,,,,,,,,,,,
Cs,Cs7p32,133,7,2.713524,3.893905,0.5,1,1.5,55,3.5,2.579,0.585,16.6,,,,8,3.194322,,,,,,,,,,,,
Cs,Cs8p12,133,8,3.194322,3.893905,0.5,1,0.5,55,3.5,2.579,0.585,43,,,,9,3.43024408,,,,,,,,,,,,
Cs,Cs8p32,133,8,3.194322,3.893905,0.5,1,1.5,55,3.5,2.579,0.585,7.6,,,,9,3.43024408,,,,,,,,,,,,
Cs,Cs5d32,133,5,1.80493817,3.893905,0.5,2,1.5,55,3.5,2.579,0.585,48.78,0.1,,,6,2.8038456,,,,,,,,,,,,
Cs,Cs5d52,133,5,1.80493817,3.893905,0.5,2,2.5,55,3.5,2.579,0.585,-21,0.25,,,6,2.8038456,,,,,,,,,,,,
Cs,Cs6d32,133,6,2.8038456,3.893905,0.5,2,1.5,55,3.5,2.579,0.585,16.34,-0.1,,,7,3.2310775,,,,,,,,,,,,
Cs,Cs6d52,133,6,2.8038456,3.893905,0.5,2,2.5,55,3.5,2.579,0.585,-4.69,,,,7,3.2310775,,,,,,,,,Literally no clue what the B values should be for this.,,,
